url,type
http://www.osn-solutions.nl/index.php/nl/over-osn,defacement
http://msb.jcw.mybluehost.me/web.html,phishing
https://sites.google.com/view/qwzxvcax/home,phishing
https://pub-fc6dc735ff68445cae5ca2d946a8bfbb.r2.dev/link.html,phishing
https://tinyurl.com/4vz6vmm2/a.html?syl=1x165b298931062a_vl_inbox.imu2515oy1h-0pps70e.3a4og66.JOWlYUMTVveTFoLTBwcHM3MGU0g2s3U,phishing
http://172.39.76.152:38302/Mozi.m,malware
http://www.timken.com,benign
http://synaptixcommunications.com/index.php?%2FCapabilities%2Fnewsletters-articles-brochures.html,defacement
http://167.99.56.99/SBIDIOT/zte,malware
http://www.pomorskie-lzs.pl/index.php?option=com_content&view=article&id=138:dziewczta-z-szkoy-podstawowej&catid=9&Itemid=1,defacement
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB%E6%95%99%E6%A1%88/,malware
http://www.karate-kobudo.co.nz/,benign
http://www.phys.tue.nl/epg/,benign
http://hotlinegsm.com/products/mobile-and-tablet/motorola-atrix-2-detail,malware
http://www.cilfa.asso.fr/english/index.htm,benign
http://51.195.146.201/swrgiuhguhwrguiwetu/arm6,malware
https://gitlab.com/akif65336/evev/-/raw/master/evdekal.apk,malware
https://pub-c4e32884f8d041c3a3626659c22f5f50.r2.dev/space.html,phishing
https://apbfiber.com/openme/11320d200d42d3_18d30d11.exe,malware
http://www.123dv.com,benign
http://www.mariamagdalena-bogatynia.pl/index.php?option=com_rsgallery2&page=inline&id=899&Itemid=67,defacement
http://realty-catalog.com/2010-02-26-10-26-49/reference.html,defacement
http://www.wigsat.org/,benign
http://departments.firehouse.com/dept/ypsilanti3mi/,benign
http://www.rebel.net/~futurist/,benign
https://apbfiber.com/openme/46520d200d42d3_18d30d11.exe,malware
http://www.info-s.com/,benign
https://docs.google.com/drawings/d/1LG-7bzcKWa3Modqe4dcrblRZOlsZ2D-T5vNzNCo9gpE/edit,phishing
http://www.ilovespeedbumps.com/guidance-you-must-know-about-automobile-insurance/,malware
http://www.kmga.net/,benign
http://www.thewrightway.me.uk/the-salon/tanning.html,defacement
https://attstop.weebly.com/,phishing
http://9779.info/%E5%B0%8F%E5%AD%A6%E7%94%9F%E5%85%AD%E4%B8%80%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
http://www.maryahprincess.it/camere/ingresso,defacement
https://track-id4952.web.app/,phishing
http://www.greatlakesrubber.com/,benign
http://www.zari-dzaferi.ch/index.php?option=com_content&view=category&layout=blog&id=4&Itemid=4&change_direction=2,defacement
https://mitsui-jyuku.mixh.jp/uploads/63413687ead846bae3d6dc2187ebf1d00be.exe,malware
https://bt-home-109456.weeblysite.com/,phishing
http://www.cs.cmu.edu/~anupamg/,benign
https://docs.google.com/presentation/d/e/2PACX-1vTOL0PRdNyRVFjrPOXZGRH8TakYtU2E_0KYRXxLYmq8c0deQhBGXNk4We8wkzRFATw7wt2785uIWl91/pub?start=true&amp;loop=true&amp;delayms=60000&amp;slide=id.p,phishing
http://www.myspace.com/kevinmdavid,benign
http://www.doctorsnutrition.com/,benign
http://www.ghsport.com,benign
http://www.ormonderacing.co.uk,benign
http://www.goofball.com/,benign
magedecorland.mediadevstaging.com,malware
http://www.southerndutchess.com,benign
https://shorten.ee/vb6ZZ,phishing
http://182.117.30.32:48075/Mozi.m,malware
https://docs.google.com/presentation/d/e/2PACX-1vQCTaejXBCObBXhxeZaZTYaKb6Fsx3hhscVb7jqSfDJK_wabzOo8IT6TnmKSGE29Djg-9yDjHQAZuMF/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,phishing
http://videoporn24.ru/skins/01/js/prettyPhoto/css/prettyPhoto.css,malware
http://www.negentis.com/azienda/clienti/81-privacy-e-trattamento-dei-dati-personali,defacement
http://www.geocities.com/awillowsdream/,benign
